"Feature.ID","Taxon","Confidence"
"Xf322ba4fd5b1a19b90d97fa888306421","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Massiliprevotella_massiliensis",0.980900578138994
"X76aa915543cd876d620ebeafeb9fd767","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae",0.998642727572279
"Xab589cea8df6e4d57063760719baaacc","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides",0.999999999658027
"Xc5a684b3dfddaa1e68d4563ea771ed15","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group; s__metagenome",0.919922623418761
"X278651ccb0f0d07cd2ab0837262dfc39","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__[Eubacterium]_siraeum_group; s__uncultured_bacterium",0.999495475485304
"X4830fa6c03eb9f7fd7a60aa04b40ace5","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_cellulosilyticus",0.956517901634368
"X403620dbc5fb1dc8456784147129527f","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium",0.999978067669259
"X7888dc681f2841bbc77d1f456dbda3d9","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__uncultured_bacterium",0.864893972313005
"X395985171f72818d95d887644dfb6d43","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes",0.999999999999973
"X5fc2d4103e27f399113f1fc7c954ef66","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides",0.999999999998451
"Xa0f9d2150e3f8419a6ade2e296eafb5f","d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__Phascolarctobacterium_faecium",0.72686942657275
"Xba3ab915d940bb92e93a3ee773c72f00","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_caccae",0.902454601864975
"X00dcba6e262a3194c68f52e6af48a071","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__uncultured_bacterium",0.762661375990377
"X5fe7ab4157717cdcf56706e5c043b959","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-003; s__uncultured_organism",0.914779272991448
"X8c5383085ec7de449a60707ebc43b835","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_fragilis",0.937345210615595
"X5d1a7a11e80c627fbc98743087f309f0","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia",0.975824106305198
"X5c541acda69aad587e3dcc07218c340f","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group",0.988935371692465
"Xfd1d77f83a3f383b6e769750fe1fdb4d","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_ovatus",0.942918003079938
"X86b5603a79c587d59312beef52df3409","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea; s__uncultured_bacterium",0.718550807499687
"X56eae32de969a8a47844eedc53db08e6","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae_NK3B31_group; s__uncultured_organism",0.950971654562008
"X8bc5f749f97d77f557c427f1ba0cf288","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides",0.999999978130143
"X049e49112c893b717f0c7062d7d3489e","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia",0.98978841525389
"X8173580acd0465bc00293c78fdea1029","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis",0.76884963956246
"X2df51244d17d5223d35111a67f6a048a","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005",0.999980642686057
"X1300fb2208dcbb54d400995de3bc2eaa","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium",0.955971762142568
"X204bf94661294a1825cfed1724d877f1","d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__human_gut",0.998685574074743
"X22b9810ff65d4738386c7af9c5447322","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia",0.964627398860786
"X3f444e0d7eb83f8abb4abacf3ce17abc","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__uncultured_organism",0.967975576165991
"X7949a6531e3cad4e887c8d260cde3ac8","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia",0.988591515586478
"Xfcdd9694b35c4f1fe9466446f55fbb05","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_ovatus",0.892257194669098
"X8f895d6d77bd75a9d5a041c1e942a9e2","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__[Eubacterium]_coprostanoligenes_group; g__[Eubacterium]_coprostanoligenes_group; s__uncultured_bacterium",0.991941981611594
"X85157b78773aaccad2a4b37bbe1b5a9d","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002; s__uncultured_rumen",0.942081122650937
"X9d7e2f75c0754a3aaf6bf21a479a0046","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group",0.990358310305203
"X7b194ff3fbeebf0030a0c3d2c2f62478","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__NK4A214_group",0.999973103348835
"X40f29bc827ddfc03d7fb5b76fb311557","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes",0.999999976538255
"X1aef5aa477c19eb195b23ea7b93f281b","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium",0.999807980162978
"Xc6faae06a70c97500e4f329b617e70b7","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Sutterella; s__Sutterella_wadsworthensis",0.923383361294122
"X059d6e79cba765d062053442b8ada21c","d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014",0.999999995473159
"Xfae2c9d145c06f062e31a4951240fc04","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_shahii",0.734030209043667
"X74fafaec802530941890c1f49dfbf3e4","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__CAG-352; s__uncultured_bacterium",0.717835983986921
"X7288e675d8c0fdc7687d5c37a9e6ee3e","d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured_bacterium",0.999971200138612
"X7a6db5f059c69a310d7c97e1b488fe74","d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella",0.999999999884351
"X79a123f051e7c2965a46226b1d95246e","d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila",0.999999569770196
"X619df55c08582666d1df3dcd73eeae02","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes",0.999999999997034
"X281041dc55d7f999ab812c2025391ab6","d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium",0.999999970057027
"Xd33d037914391243a664e78b0865819d","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis",0.811691700530148
"X7d31db74a3be0442080704e5dc0dcf6d","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides",0.999999999439784
"X55b1170eb0e3da35c2392bd77fd788be","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia; s__Roseburia_hominis",0.966283680959193
"Xc44642d31840ae8b6896c0bc0f5a8802","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter",0.9999996659343
"Xe19dfb37adb87aa29efa97c44d2d7fbb","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium; s__uncultured_organism",0.947491707385006
"X3f87fd1b5e486c0a49a3a95bc6324105","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_finegoldii",0.949437815254752
"Xa85bc10c747c0cf482d7ddda17567dae","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__metagenome",0.84574775831946
"X2b610e1280e512b310266e489f8f3298","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_plebeius",0.999785744364504
"X970d6f0c54e1e999cbdcdefc80299e2b","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__uncultured; g__uncultured; s__gut_metagenome",0.9999824746617
"X96b8ee22889c04458146e3b15b9cf882","d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_spirochete",0.999877864236596
"X03156252fe6d4e8f09aeafc3bef8622f","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae",0.92448562285969
"Xf3e1ff3be3a6f13f24666ea97d99cd0b","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__uncultured; s__uncultured_bacterium",0.996589273599462
"Xf247c06edb93b0f02277e395b87328aa","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Coprococcus; s__unidentified",0.980486245085061
"X54b5967403c94b72b5ba0327a0cf1e72","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_coprocola",0.999901028502368
"X19563b70bb3469c665c888e4685e7f99","d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelotrichaceae_UCG-003",0.999999267806797
"X762fd96b2d1336974fba68fedd33fefa","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis",0.912451542044757
"X6e9fc64eb91434c9f62929198fd2dde3","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella",0.999998791687265
"X7d66f7807dd395b6a3ab1aae91b0b50c","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_obesi",0.997007732123549
"X2866e2a978c73c3d6a6ca939980af300","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides",0.999999998790808
"X5d82d1900373e9375a82d6ccf192cf98","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella",0.999999937748864
"X6426dd907b80a97acc1378f1fbac5dfb","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_plebeius",0.999830844449976
"Xa0ac269acfcd16c66700762ee6340b07","d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae; g__Intestinibacter",0.996608724034618
"X94a45fbb634a4ae23f34d8160d95c8b7","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group",0.999999986875004
"X9c804f3d76b861e98e017e380f2f04df","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-004; s__uncultured_organism",0.994433717352959
"X31161b1a16a8e191fc427f99166043d7","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae",0.999354994347092
"X970c4c927d69ee41accb2c1a29f9a023","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ruminantium_group; s__uncultured_bacterium",0.964801361846525
"Xc6b61011752152bbbc32003f5d0c5398","d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Dialister",0.999999893500594
"Xfdea3a9cb7f2a6d75ee3a507dc5be321","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_distasonis",0.785977510403669
"Xbfad688225dd0a249ec81efe51a2e7a7","d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002",0.999901455198934
"Xdeb638adc9a5b2225f7c4f9afdb5e242","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella",0.999997733750768
"X9f05e4992392a05c38e1c790e07f3e5c","d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_ND3007_group; s__metagenome",0.739667749425565
"X4a1f301649918dd9d49bc2f8e45d16d1","d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014; s__uncultured_bacterium",0.880374748735562
