pathway	F1195	F1256	F1257	F1262	F1282	F1290	F1320	F1385	F1413	F1452	F1544	F1559	F1774	F1909	F1915	F1920	F1975	F1977	F1996	F2113	F2118	F2141	F2185	F2281	F2299	F2366	F2395	F2501	F2504	F2507	F2516	F2575	F2716	F2869	F2881	F2919	F2946	F2953	F2956	F2971	F2976	F3058	F3188	F3211	F3263	F3309	F3344	F3395	F3436	F3484	F3560	F3580	F3627	F3645	F3701	F3784	F3829	F3856	F3936	F3965	F3968	F4013	F4186	F4225	F4369	F4398	F4446	F4451	F4455	F4466	F4484	F4541	F4547	F4557	F4637	F4660	F4678	F4693	F4697	F4706	F4730	F4820	F4876	F5026	F5029	F5071	F5201	F5210	F5224	F5285	F5292	F5326	F5352	F5362	F5374	F5423	F5429	F5430	F5457	F5467	F5494	F5502	F5620	F5723	F5808	F5845	F5995	F6014	F6135	F6161	F6178	F6186	F6222	F6336	F6365	F6413	F6445	F6490	F6503	F6580	F6661	F6730	F6736	F6828	F6852	F6893	F6970	F7160	F7192	F7230	F7249	F7276	F7322	F7356	F7366	F7381	F7390	F7411	F7413	F7437	F7442	F7468	F7477	F7500	F7536	F7610	F7642	F7762	F7763	F7867	F7901	F7927	F7947	F8055	F8096	F8102	F8103	F8133	F8334	F8394	F8577	F8631	F8644	F8790	F8819	F8922	F8948	F8958	F9004	F9080	F9125	F9138	F9349	F9410	F9456	F9476	F9484	F9493	F9523	F9537	F9549	F9556	F9567	F9598	F9653	F9739	F9747	F9751	F9759	F9817	F9848	F9856	F9921	F9938	F9952	F9955	F9959
14DICHLORBENZDEG-PWY	0.0	0.0	1.3083832335329342	0.0	0.0	0.0	0.0	0.0	1.5951241810147798	0.0	0.0	0.0	0.5313092979127135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.302325581395349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0578128242373936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7747634069400631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.119689823327205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.646153846153846	1.763779527559055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7652173913043478	12.019685577580312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0615199034981906	0.0	0.0	0.0	0.0	0.0	3.1405756731662025	0.0	0.0	0.7976387249114522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7997093445720099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.849309245483528	0.0	0.0	0.0	0.0	0.0	0.0	1.0596026490066226	0.0	0.0	0.0	0.0	0.0	1.528730512249443	0.0	0.0	0.0	0.0	0.0	0.0	0.7499999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0126582278481011	0.0	0.0	0.0	0.0	0.7922405431619787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.862914896060641	0.0	0.0	0.0	0.0	0.0	0.0	1.0316742081447963	0.0	0.0	0.0	11.13557929334429	0.0	0.0	0.0	3.6889530440689473	2.3153936545240894
1CMET2-PWY	2611.800960022317	7569.562383129947	3884.167682976664	11075.199168537327	8347.346508526918	10162.558997791624	5918.37576098686	4899.754038715592	5473.245326607296	12823.10879397446	7213.0554897791235	2824.957947521014	7384.130940960913	8773.40916881741	7617.816554608992	7628.23510540521	10109.42002578281	8313.339947153656	9000.705829186652	5343.907713312397	5021.411096812187	6695.900356658918	4932.832862475753	6559.9648500359035	5784.048204437339	5419.2117759789835	6033.400990879109	5847.78042390304	6245.782527004871	2747.496950350114	4419.255734699341	7057.365595024342	8869.629375965063	7696.794745574179	9391.094849976087	1990.9333195439103	6884.757343845513	5108.727862337747	6392.329589236747	7761.1173650692535	4570.532180067902	4410.489239818717	11592.013536317007	7420.533742343511	5031.688254011738	6372.205049482899	6980.315820117162	7349.195348278783	8280.517502854284	7148.178978110765	11229.233689144607	4737.393191552347	6718.608990972067	7426.695071439624	2460.998553936831	4925.29813301249	4824.413140885525	5954.390070614577	6133.785088337232	9963.78624496167	8266.389342384904	6066.722741304639	8078.390539112576	6349.360411233834	8039.95955548629	8231.079826791152	6193.6741146139675	5346.050114631081	4457.298429190531	2341.643191751373	6866.005789129384	9532.592011900726	8778.283432437593	9454.829239872388	5911.026853091929	9213.707468440427	5151.710227547561	6916.684280129604	6461.569530958368	6230.920089313185	11468.301164001485	6579.968102237996	6290.424620901611	4971.747248363299	9951.653627512193	6606.19046492177	8564.170659578513	8873.834846548541	2834.408038581436	5907.069282410794	7286.373119442402	4984.05676323065	5035.825369725149	7447.809128720083	3347.0473406689475	5220.763860779328	5802.490893748468	3689.2423255227227	6095.676449103781	9388.019534362402	8635.888711815298	7609.500271604188	4705.248550950369	4404.10047934901	4576.148176925626	3194.093150867421	7679.104076142448	3822.0643134625543	8569.202892456333	6069.573082490468	8619.432782259697	9672.95137448882	11082.560439628693	5954.6560548350435	5821.551236700615	5242.689744450649	2036.5209689220374	9034.076665903642	4732.601055763451	6167.874106772271	8173.596896915417	4048.3141100697994	3733.975081519533	7849.84748976726	9645.914636354166	7667.467647289438	8405.805826112324	2712.4311581983	2871.9728990904314	5048.500388735283	4920.563920839291	5300.542565176055	11678.634026103147	2976.758062165644	5501.490928541547	5660.741939777253	5912.896577475095	4932.881067389825	7131.407299024663	7038.025595842903	13738.190619471165	5455.17847617152	4249.5147735879755	6279.669387748166	10559.346083774377	8570.191419235061	1309.4146341168869	11857.045890933572	6145.523334882693	8391.17588461982	3180.2943649156873	4547.061720243155	6594.182095117081	6988.81310986723	11307.06447245088	6064.753449435158	3884.926438302154	6671.218721409285	5736.250260133311	7172.28649996006	9946.570935893953	6973.8561510591035	7488.796519912715	3917.537171882383	5886.849527823139	8971.023183358877	8244.209839720617	9143.99762068848	6364.398593927918	7345.6974197160525	3410.694045351338	9432.181353953418	8505.222869914327	7667.999123097652	3428.9853656446553	8864.775997987093	6943.867971445258	7236.596791523761	11249.408729091343	6622.545771285886	8157.506305697944	9549.129707181475	4740.057815167768	10745.513462686427	8550.974351762348	4492.452831050716	3826.621977424336	12433.56609927364	6877.988481422319	5537.322776088899	9741.317292216116	6090.088976830594	6124.9585360572655	8712.944127499293	11384.49574644522	6526.761461861909	11288.555648286718
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	1.3699078663725834	0.0	0.0	0.0	206.06919565051413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.99874906608065	0.0	0.0	0.0	0.0	0.0	30.845339744729984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.176227454174497	0.0	0.0	0.0	4.204385015629407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	598.2967436949027	0.0	0.0	6.864219271120283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.77675421287836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.935169260996034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.692446308786515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.884071743640306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0	0.62	0.0	0.0	0.0	116.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	1.8800000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12	0.0	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	0.0	21.286866176531092	32.347097710071594	43.627531705773144	36.37029377735454	53.98731040271852	121.7200084882651	42.44516016228535	0.8586684475687637	74.07406451625324	69.92082373853223	23.576119910420644	5.8692774740536855	0.0	0.0	157.96400123459944	11.499682191503059	73.59695000098944	0.0	0.0	13.08017096496242	10.275785582676772	35.53701743804598	0.0	12.299793918260388	25.497049159289556	26.762848320315978	433.47386460255626	64.8711957769838	0.0	17.68615204816241	12.79859049734761	0.0	0.0	105.54647511391471	0.0	11.90328421783905	0.8520030967226425	7.919729022870041	279.0195770306358	76.34637223974764	0.0	34.90097952445665	34.32405293225242	0.0	0.0	21.45158504340561	20.449590311007277	63.39476405845657	2.8190908765436524	0.0	28.30411851687122	7.541639668168699	18.420960556359834	0.0	25.90241454814844	118.63768233226516	22.18535741888157	22.858428804295492	0.0	3.1005744056215216	14.618526236642163	37.74370160696978	22.922941104884156	1332.4490795467673	0.0	21.163598289852544	0.0	19.316103754580137	65.85538306688493	1.991678837410945	0.854068140656586	0.8540625173394615	13.494597204822004	27.28767637274967	20.549686974983075	0.0	4.634861948233711	27.06515427074633	0.0	0.0	14.40857736126134	3.8959752685516915	17.103219042286355	0.0	10.179591268817022	21.258925178902665	0.0	8.35330761330159	0.0	35.2713275152939	10.86870007780169	9.816541097443366	44.31114398981523	0.0	24.937642240867394	24.913558507852397	899.5970043646473	22.153256263534804	28.5468046086593	17.04897159294671	11.629129382383208	0.0	0.0	0.0	5.576204342333901	0.0	25.227398851156245	22.281633439433822	1.6834223896902052	44.2582641482512	8.022830614607622	0.0	0.0	100.92009648913947	7.305775053804953	5.036881484354656	51.563391004696975	0.0	15.358458778875598	33.667616864633956	2.266428312084197	9.670128448653978	38.62302311552095	509.5127032586348	39.062249022646526	360.81500929845305	13.457789979409748	67.49313143072247	7.698122274517128	48.79568894728338	46.06656826745997	9.77373977808222	17.637944930092118	103.04092658192494	0.0	35.7730984804397	1.7116225510042635	7.74996867696843	18.305762077294638	30.981882046425213	11.654395396213424	0.0	17.439612725385743	41.03694924827137	0.0	10.366243623127042	80.62277322373052	3.6649725021683603	13.513592951583059	36.586514319118685	10.034619305055786	26.054398393810622	98.70000728014166	243.42339433623803	0.0	0.0	0.0	12.459558625254768	51.82561669403475	19.550172669309546	0.0	20.982319362357988	16.907265517339326	45.861429850935316	5.937303310148589	1.9840517781744558	24.309203658338774	4.226527514190896	64.82284052820741	116.89605192467958	47.7519225887495	45.81863178692487	1.4135740031620077	7.664651259301856	0.0	11.015311078585677	0.0	450.7505690074748	0.0	36.66898703159218	0.0	0.0	14.268933097998707	15.92591180663548	12.402069196033489	2.122502456367217	22.28645514677203	15.105214489368516	0.0	7.254642735776713	320.43462757745755	11.29507703091603	59.11232506160058	22.280040007380133	34.48613082403473	23.50681861377609
ANAEROFRUCAT-PWY	992.4456769397297	6809.445813499851	4226.565991049042	8707.008296252767	8334.05551903131	9749.885103657609	5320.683229783989	4406.5118707996035	5787.049723186107	8447.055441266479	5997.037513847988	2375.448693561618	6582.792039688711	6625.209468732097	5940.349764321107	7170.704660059814	8897.036800489008	6627.210243901998	8814.293299920017	4822.863734939823	3649.163858810226	6044.095753072332	3140.767439404601	5934.097103149237	5402.376308818461	3398.0093518880103	6374.7455151434	6002.624551901858	6124.6677381269965	2616.309191616085	3452.401827642267	5669.046560659601	6992.381736430972	7867.196242639268	7917.05003560817	1841.9863812562298	5260.257866726645	4870.4780150953	4057.0746637153784	6946.528465348163	2462.0764832744126	1754.4974316816083	9788.4240939792	7315.446414149899	4423.157465929899	6191.080334815559	2112.9953020322146	6445.297641890721	7746.004004797831	6468.32120710716	2411.3940051209574	5006.213053586533	5805.794728052584	3218.7708857194043	391.2524512932641	3216.117749864363	3603.522346061565	5601.837676804684	6477.174074438936	6137.072892145477	5152.191077163669	5517.016282618538	7753.438443862395	5149.080261556989	5479.114198174674	5773.483618757176	4872.436446840545	4272.913494972084	4078.1239673545156	2182.2501930406506	6593.664829461379	8604.149526058747	6420.512945407215	9294.162286725907	4909.272596806168	8241.249972734173	5173.793442141114	4038.0846353186935	5528.061876385277	4832.0724803854	4145.681182151565	6676.136893675556	4578.369312712986	4687.181825158135	9009.371209871708	6106.4558592708745	7392.615010438402	6719.131698104179	3478.0724058381106	5633.212183962015	5666.726996048342	4518.771769983882	3797.624921553271	6513.518474566117	2504.170355232918	4388.432448916319	6199.111655346733	3689.1880477135387	4587.648258972571	3203.151115167156	6484.33466908599	6022.495171876599	4784.28370432665	5157.449992922246	4270.5001116811645	2780.1421621625263	2462.6251283293227	4060.9040461172767	7524.447155602482	5427.881177468397	7519.994609260759	7034.498361335427	9495.337255452272	5039.313590716062	3814.9768360598846	5629.207798530767	2247.3314835184324	9470.884076740953	3843.637563830346	5339.3144985164945	7737.257915310312	3840.1949143784527	2746.2023596471126	4676.119209579104	7211.183588834738	8042.04770359851	6786.202648932206	2250.5231404964347	1328.7197208131724	2949.6974499948806	3730.385476769591	5088.025455200387	9162.052534886114	2546.888119818581	4029.044976708966	3841.089017323602	4717.5649553734465	3768.40671828999	6092.368083916284	5604.211866197677	2103.289771666544	3618.164015573984	3790.377096423136	4209.341434752503	9876.554280889612	5783.636528417174	1111.1574561571172	8999.551205792855	6986.842009029202	6722.949900582106	2988.7790436000387	3663.1559265271635	6909.518494533572	3176.184219140584	8784.834870814771	6026.811834780626	3313.2880809138906	5105.096705491965	3874.031835151668	5553.589400777756	10205.49018167141	5822.015420501142	5014.190382395821	2450.241748487214	5127.965511967097	4682.9696438485435	5341.726062168557	7748.4697173239265	4978.946582697687	6273.792532241641	1654.987794404537	8370.544497640929	6280.7832693825485	6818.4839619953755	2568.2300381140503	8608.493326764472	5448.077326651979	5628.59008365338	8848.879269028275	5248.323939487401	7143.927771162177	7011.057706554832	3876.6217930132516	10543.51491717154	7772.4059219285255	2461.363120309127	3073.9023129609964	8646.804408472264	5112.586046719	3304.0944622724764	10089.353039244026	5854.958283462481	3107.886464422782	8296.95909201161	10080.958163552554	4435.981805830744	7184.622733556386
ANAGLYCOLYSIS-PWY	1505.1355496251806	8906.54858328374	5302.49176616868	14412.37238972045	11653.959572045405	12146.27477813519	6883.6915925624235	6233.216954084775	7363.974989683475	11427.940987063048	7800.465609930739	3236.9777918060445	8685.532461285253	10872.939106158585	8043.82589676492	9618.101912115555	11736.335935085597	9913.494481029853	11544.671245640346	7190.687801933914	5461.658008719015	7749.74935530756	4179.057836907457	7916.76715594569	7017.243188033514	4666.442629355115	8368.191601926444	7584.665442466579	8055.4132296069965	3537.8300245299397	4876.6943218292045	7558.200843319215	11224.103415759457	10575.197697034868	11249.148044631851	2625.4137246635437	7143.108419164161	6478.57602568974	5429.014255686504	9503.073341612242	3439.627538095896	2750.8862968023172	13352.400090961302	10644.664915963227	5771.4059363761135	8737.892631841405	3278.220096466291	8677.46759602898	10102.026395283796	9279.647630693415	3709.281271946649	6373.733773488714	7879.736402490381	5119.9492800061935	666.2801043707165	4382.186862565794	6085.678520674454	6907.424574892592	7874.149160223421	8845.962443036082	6993.108068717319	7182.23595714031	9602.851724184473	6903.435309129963	8757.290388242674	8154.37628237701	6221.550982912448	6753.026981017232	5616.9391445078345	2703.6849592643666	8640.798688737395	11078.806323242103	8486.448014508005	12902.031896627363	7532.297284737233	10750.942308555861	6639.816361270025	5385.443376134812	7207.588099856127	6457.965502811923	5870.575195777331	8511.741408117632	6222.883648314576	6309.473471333209	11967.838087010618	8753.587392563148	10343.803402082101	8950.624849874324	4167.6379381718925	7112.875506581419	8409.502195454214	6837.059694980352	5041.764288836051	8877.511122522497	3727.5839351084487	5892.57039107504	7651.269049486458	4832.558191616969	6137.565091260059	4820.270579333139	10696.055288963536	8026.856347808764	6395.292941534954	6451.823063025204	5763.654377484046	3688.8415918285086	3830.3677157395296	4773.491380178045	9715.789629280827	6914.554548616143	9787.780922248396	10535.748064358353	13908.450078229313	6500.562196436645	5157.433435460751	7196.171880344613	2818.549286110349	11782.728744400752	5701.665771036371	9271.507935810248	9987.786332367667	5183.9620828773495	3723.1146844976424	6574.4990070846725	12691.183093432885	10052.372200957445	9049.550366468371	3114.0473862702565	2031.9130329400596	4379.862628952478	5028.54636377103	7258.234299853192	12054.390909302048	3319.1222231263546	5400.757477984191	5795.516559793523	7154.829063678788	5071.2217121362055	8030.021240371207	7343.730811112169	3120.5840722138405	5639.54846132999	5202.003698201212	5715.772333524092	12517.380859636347	8082.123278533229	1797.2831738246632	11969.608192578306	8362.361183280213	8704.352833628322	3924.666497267439	4778.9660495628095	8719.784391432066	4600.819497441501	14008.900400909726	7963.566451651948	5133.322295605916	6910.93827624005	5348.018217323327	7680.6739328455815	13077.501830579607	8868.910942050774	6877.901628031497	3310.0219719120078	6918.779115006403	6820.1913219570915	7387.021754788607	11298.273489743518	6678.741156749617	8202.7424151737	2381.3805467331713	11871.06248909585	8262.69166419077	10318.25950898963	3441.601934119283	12909.723727422057	7246.551975033115	7924.378051310468	15254.786121785264	7970.727548918908	9440.969671327639	9703.395680525467	6154.9544563667405	13593.749672065489	10072.309233588681	3870.9032472854865	4169.731458522411	11770.67222511236	6811.069539207795	5952.321821857718	14907.105391501796	7401.016474243339	4823.692497977165	10783.270317643608	13217.72856825682	6182.304483319118	9884.57393442057
ARG+POLYAMINE-SYN	737.1164754287547	2361.597514247349	2068.2022570130935	1053.517362514489	3420.392399861533	1871.0973865300123	3605.914039517548	1246.0781008597917	1491.1800822330024	5788.852687441081	1820.1159322990466	814.9644929349842	2497.9611613302995	1959.5640989121302	802.9005258490008	2250.324701255091	2510.976677661561	852.3126859843676	2779.0920674337217	808.9448866057033	752.7000584496413	1639.9131787586218	822.073410719122	1645.0185658453443	743.5164473327106	435.9145567889159	1509.95937410755	2088.1576955688492	1418.9828040118825	624.9527686761527	1787.542034057131	2147.035136716977	1571.8490070272737	2086.9938516883676	1718.278138251344	226.81566036419645	1799.6348792544363	1850.9161070931857	1974.0894217467855	1394.600027912195	1335.5767201643046	1102.2531192279232	2159.189027303572	1057.659770760556	454.83702754063773	2481.4275234956804	859.2787924464278	1846.396598694491	1675.8216535548045	1038.650865621001	997.2648768300116	1164.14168000001	841.1033946549949	493.44350361902707	276.7956457115847	911.4794782936002	1085.4677716054143	968.5170718530765	1369.977910551072	1303.8026713322492	1566.109167682528	1378.5701131610626	2330.7811962337228	1348.0751766828714	3326.0148716784197	1619.3535658354663	1646.804763256519	1568.3984741935385	1424.7722481387914	1309.8269356232443	1510.244834970275	2235.2186405271696	2800.54220679501	1760.4874234246477	336.99622961483885	2666.228054780599	2551.963660559534	1518.1833205536718	3344.81064575454	1060.1646159918332	1871.1828185039474	1654.0144168999586	1337.6975113717656	886.4299991953328	1849.3467623836182	1772.2054424917824	2220.8963559069193	2940.417112132272	798.8249140671046	1407.1549178341456	2316.7191837253126	1021.2401299415216	815.220432504936	1741.8313899446805	580.5503780663029	1929.2611757273064	627.1960906710634	1968.9870138842077	1250.238112778862	1407.0771201867678	2235.383121452976	2304.2076043023794	1130.9940270688865	1724.2244981572212	708.9894512549511	647.9833475630127	800.4931322429198	1175.5656653081837	1679.7322736213932	1271.212392382621	1904.7756460837809	1788.3328612579974	2687.7376117451004	1866.4937758032706	1092.9328260579305	1785.2162129439807	501.6089177934759	3432.2509268054046	1046.2778380923924	1043.771835763002	1908.69756482146	917.9247618108095	579.9635624438038	1819.2984104129334	2249.937232889012	2088.0934638146173	2610.2960828396062	670.8669409669429	700.5156864372188	1280.0592290742723	806.9515577493291	2243.956535660512	4110.219140712995	526.0968886265252	1708.89220940089	1743.0886516306894	1405.2230633080374	1454.8126227658163	1661.6124404755933	3872.1920390750543	2630.5128051571496	947.7265077750792	863.1179365309594	2218.4035236435125	3469.019314648169	1552.1885546591707	826.929190326229	2252.2704573881856	3321.6046291369676	2398.168209396528	706.8154774200984	818.8333782445355	2335.2708205921167	2721.4761849553574	2043.4765183120714	979.6589408702363	770.6066933121326	1775.1471441323122	1278.041870208069	2074.659609016978	3087.7964409186634	1099.7288251544949	1404.5075323532653	578.5664006678218	2271.0189527950843	2733.1189290472335	2404.7159540347843	2201.167813387327	1519.092400220203	1713.3527374803373	1306.779401412073	2194.6402137131104	2728.5251983435387	1808.7710163337456	618.3914736884745	1425.3299436022307	1349.6658213773494	1402.0948803973033	2356.552616492993	1474.7242893420314	1436.6498760033978	2738.038533936075	1447.1994714953703	3414.7989239096714	1781.5285729556213	415.750841817063	527.7047725437894	2581.1402106601067	2048.876059599747	614.119796498131	3674.4673728134558	2426.033912720544	1393.7888462592518	2780.878857813415	1592.9597493890353	1325.4685143969184	2439.5113760858467
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.81124672646578	0.0	0.0	0.0	58.842662212355265	0.0	35.3072984813199	26.042723878731966	0.0	0.0	1.2859249078766255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.10703696457552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	411.886055420442	287.43063743755835	0.0	0.0	0.0	0.0	0.0	37.41425642153449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.39945357840927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.67311487584938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6101625373707562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.80568716830254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4183333735910988	179.83863085115763	0.0	0.0	0.0	52.646285590764876	3.417631090725295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23770669102195	5.749173391579371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.04240961761978	0.0	0.0	0.0	10.182354985684464	0.0	0.0	0.0	0.0	0.0	0.0	3.3287579295029732	0.0	99.7864683736471	0.0	0.0	0.0	0.0	26.436749061620905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.873568902222434	0.0	0.0	0.0	0.0	0.0	85.16443432836063	0.0	5.672475769417434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.156630993042125	0.0	0.0	0.0	0.0	0.0
